"","location","amount","efficacy","year","mean","sd"
"1","None","None","None",2018,1697,38
"3","Berks County and SLF Perimeter","$12 million","100",2018,951,28
"5","Berks County and SLF Perimeter","$12 million","50",2018,1138,32
"7","Berks County and SLF Perimeter","$12 million","60",2018,1104,31
"9","Berks County and SLF Perimeter","$12 million","70",2018,1078,31
"11","Berks County and SLF Perimeter","$12 million","80",2018,1017,27
"13","Berks County and SLF Perimeter","$12 million","90",2018,978,27
"15","Berks County and SLF Perimeter","$18 million","100",2018,876,28
"17","Berks County and SLF Perimeter","$18 million","50",2018,1072,30
"19","Berks County and SLF Perimeter","$18 million","60",2018,1030,28
"21","Berks County and SLF Perimeter","$18 million","70",2018,1008,24
"23","Berks County and SLF Perimeter","$18 million","80",2018,939,29
"25","Berks County and SLF Perimeter","$18 million","90",2018,893,29
"27","Berks County and SLF Perimeter","$6 million","100",2018,1081,33
"29","Berks County and SLF Perimeter","$6 million","50",2018,1248,34
"31","Berks County and SLF Perimeter","$6 million","60",2018,1227,33
"33","Berks County and SLF Perimeter","$6 million","70",2018,1200,32
"35","Berks County and SLF Perimeter","$6 million","80",2018,1154,30
"37","Berks County and SLF Perimeter","$6 million","90",2018,1108,31
"39","Berks County","$12 million","100",2018,1015,28
"41","Berks County","$12 million","50",2018,1189,29
"43","Berks County","$12 million","60",2018,1156,34
"45","Berks County","$12 million","70",2018,1128,31
"47","Berks County","$12 million","80",2018,1082,33
"49","Berks County","$12 million","90",2018,1042,33
"51","Berks County","$18 million","100",2018,981,26
"53","Berks County","$18 million","50",2018,1136,35
"55","Berks County","$18 million","60",2018,1102,27
"57","Berks County","$18 million","70",2018,1079,31
"59","Berks County","$18 million","80",2018,1030,29
"61","Berks County","$18 million","90",2018,1003,27
"63","Berks County","$6 million","100",2018,1144,36
"65","Berks County","$6 million","50",2018,1311,32
"67","Berks County","$6 million","60",2018,1278,31
"69","Berks County","$6 million","70",2018,1260,34
"71","Berks County","$6 million","80",2018,1211,34
"73","Berks County","$6 million","90",2018,1170,33
"75","SLF Perimeter","$12 million","100",2018,1546,36
"77","SLF Perimeter","$12 million","50",2018,1563,33
"79","SLF Perimeter","$12 million","60",2018,1560,38
"81","SLF Perimeter","$12 million","70",2018,1568,37
"83","SLF Perimeter","$12 million","80",2018,1553,32
"85","SLF Perimeter","$12 million","90",2018,1545,33
"87","SLF Perimeter","$18 million","100",2018,1522,33
"89","SLF Perimeter","$18 million","50",2018,1552,31
"91","SLF Perimeter","$18 million","60",2018,1542,34
"93","SLF Perimeter","$18 million","70",2018,1540,30
