"","location","amount","efficacy","year","mean","sd"
"1","None","None","None",2018,1821,37
"3","Berks County and SLF Perimeter","$12 million","100",2018,1024,29
"5","Berks County and SLF Perimeter","$12 million","50",2018,1229,34
"7","Berks County and SLF Perimeter","$12 million","60",2018,1191,33
"9","Berks County and SLF Perimeter","$12 million","70",2018,1170,36
"11","Berks County and SLF Perimeter","$12 million","80",2018,1106,33
"13","Berks County and SLF Perimeter","$12 million","90",2018,1055,31
"15","Berks County and SLF Perimeter","$18 million","100",2018,934,27
"17","Berks County and SLF Perimeter","$18 million","50",2018,1137,33
"19","Berks County and SLF Perimeter","$18 million","60",2018,1093,30
"21","Berks County and SLF Perimeter","$18 million","70",2018,1073,31
"23","Berks County and SLF Perimeter","$18 million","80",2018,1004,31
"25","Berks County and SLF Perimeter","$18 million","90",2018,956,31
"27","Berks County and SLF Perimeter","$6 million","100",2018,1215,31
"29","Berks County and SLF Perimeter","$6 million","50",2018,1385,39
"31","Berks County and SLF Perimeter","$6 million","60",2018,1353,32
"33","Berks County and SLF Perimeter","$6 million","70",2018,1336,37
"35","Berks County and SLF Perimeter","$6 million","80",2018,1285,33
"37","Berks County and SLF Perimeter","$6 million","90",2018,1242,38
"39","Berks County","$12 million","100",2018,1099,33
"41","Berks County","$12 million","50",2018,1286,39
"43","Berks County","$12 million","60",2018,1253,34
"45","Berks County","$12 million","70",2018,1230,32
"47","Berks County","$12 million","80",2018,1158,36
"49","Berks County","$12 million","90",2018,1131,31
"51","Berks County","$18 million","100",2018,1058,31
"53","Berks County","$18 million","50",2018,1220,36
"55","Berks County","$18 million","60",2018,1183,36
"57","Berks County","$18 million","70",2018,1154,33
"59","Berks County","$18 million","80",2018,1102,32
"61","Berks County","$18 million","90",2018,1067,34
"63","Berks County","$6 million","100",2018,1208,35
"65","Berks County","$6 million","50",2018,1391,33
"67","Berks County","$6 million","60",2018,1354,35
"69","Berks County","$6 million","70",2018,1331,41
"71","Berks County","$6 million","80",2018,1282,36
"73","Berks County","$6 million","90",2018,1239,36
"75","SLF Perimeter","$12 million","100",2018,1649,35
"77","SLF Perimeter","$12 million","50",2018,1681,40
"79","SLF Perimeter","$12 million","60",2018,1673,37
"81","SLF Perimeter","$12 million","70",2018,1675,37
"83","SLF Perimeter","$12 million","80",2018,1660,35
"85","SLF Perimeter","$12 million","90",2018,1657,34
"87","SLF Perimeter","$18 million","100",2018,1632,35
"89","SLF Perimeter","$18 million","50",2018,1668,36
"91","SLF Perimeter","$18 million","60",2018,1659,40
"93","SLF Perimeter","$18 million","70",2018,1660,37
"95","SLF Perimeter","$18 million","80",2018,1649,37
"97","SLF Perimeter","$18 million","90",2018,1650,34
"99","SLF Perimeter","$6 million","100",2018,1692,35
"101","SLF Perimeter","$6 million","50",2018,1726,42
"103","SLF Perimeter","$6 million","60",2018,1713,37
"105","SLF Perimeter","$6 million","70",2018,1717,41
"107","SLF Perimeter","$6 million","80",2018,1698,32
"109","SLF Perimeter","$6 million","90",2018,1699,42
"111","None","None","None",2019,5259,106
"113","Berks County and SLF Perimeter","$12 million","100",2019,3300,83
"115","Berks County and SLF Perimeter","$12 million","50",2019,3848,93
"117","Berks County and SLF Perimeter","$12 million","60",2019,3755,95
"119","Berks County and SLF Perimeter","$12 million","70",2019,3680,100
"121","Berks County and SLF Perimeter","$12 million","80",2019,3538,97
"123","Berks County and SLF Perimeter","$12 million","90",2019,3418,85
"125","Berks County and SLF Perimeter","$18 million","100",2019,2944,78
"127","Berks County and SLF Perimeter","$18 million","50",2019,3544,91
"129","Berks County and SLF Perimeter","$18 million","60",2019,3415,83
"131","Berks County and SLF Perimeter","$18 million","70",2019,3335,83
"133","Berks County and SLF Perimeter","$18 million","80",2019,3139,91
"135","Berks County and SLF Perimeter","$18 million","90",2019,3023,85
"137","Berks County and SLF Perimeter","$6 million","100",2019,3999,85
"139","Berks County and SLF Perimeter","$6 million","50",2019,4358,99
"141","Berks County and SLF Perimeter","$6 million","60",2019,4290,97
"143","Berks County and SLF Perimeter","$6 million","70",2019,4265,114
"145","Berks County and SLF Perimeter","$6 million","80",2019,4167,91
"147","Berks County and SLF Perimeter","$6 million","90",2019,4104,94
"149","Berks County","$12 million","100",2019,3596,94
"151","Berks County","$12 million","50",2019,4154,101
"153","Berks County","$12 million","60",2019,4043,89
"155","Berks County","$12 million","70",2019,3962,93
"157","Berks County","$12 million","80",2019,3802,93
"159","Berks County","$12 million","90",2019,3707,89
"161","Berks County","$18 million","100",2019,3440,91
"163","Berks County","$18 million","50",2019,3900,91
"165","Berks County","$18 million","60",2019,3776,101
"167","Berks County","$18 million","70",2019,3661,87
"169","Berks County","$18 million","80",2019,3543,91
"171","Berks County","$18 million","90",2019,3476,86
"173","Berks County","$6 million","100",2019,4003,100
"175","Berks County","$6 million","50",2019,4488,107
"177","Berks County","$6 million","60",2019,4392,100
"179","Berks County","$6 million","70",2019,4329,106
"181","Berks County","$6 million","80",2019,4245,127
"183","Berks County","$6 million","90",2019,4136,103
"185","SLF Perimeter","$12 million","100",2019,4541,90
"187","SLF Perimeter","$12 million","50",2019,4665,91
"189","SLF Perimeter","$12 million","60",2019,4636,100
"191","SLF Perimeter","$12 million","70",2019,4623,85
"193","SLF Perimeter","$12 million","80",2019,4573,82
"195","SLF Perimeter","$12 million","90",2019,4561,75
"197","SLF Perimeter","$18 million","100",2019,4434,74
"199","SLF Perimeter","$18 million","50",2019,4584,84
"201","SLF Perimeter","$18 million","60",2019,4539,80
"203","SLF Perimeter","$18 million","70",2019,4527,84
"205","SLF Perimeter","$18 million","80",2019,4482,78
"207","SLF Perimeter","$18 million","90",2019,4471,75
"209","SLF Perimeter","$6 million","100",2019,4744,85
"211","SLF Perimeter","$6 million","50",2019,4848,104
"213","SLF Perimeter","$6 million","60",2019,4815,87
"215","SLF Perimeter","$6 million","70",2019,4797,102
"217","SLF Perimeter","$6 million","80",2019,4775,87
"219","SLF Perimeter","$6 million","90",2019,4767,84
"221","None","None","None",2020,9955,284
"223","Berks County and SLF Perimeter","$12 million","100",2020,6834,246
"225","Berks County and SLF Perimeter","$12 million","50",2020,7845,224
"227","Berks County and SLF Perimeter","$12 million","60",2020,7729,244
"229","Berks County and SLF Perimeter","$12 million","70",2020,7577,241
"231","Berks County and SLF Perimeter","$12 million","80",2020,7351,248
"233","Berks County and SLF Perimeter","$12 million","90",2020,7162,237
"235","Berks County and SLF Perimeter","$18 million","100",2020,6120,194
"237","Berks County and SLF Perimeter","$18 million","50",2020,7360,215
"239","Berks County and SLF Perimeter","$18 million","60",2020,7153,231
"241","Berks County and SLF Perimeter","$18 million","70",2020,7006,223
"243","Berks County and SLF Perimeter","$18 million","80",2020,6645,234
"245","Berks County and SLF Perimeter","$18 million","90",2020,6410,234
"247","Berks County and SLF Perimeter","$6 million","100",2020,7988,212
"249","Berks County and SLF Perimeter","$6 million","50",2020,8643,263
"251","Berks County and SLF Perimeter","$6 million","60",2020,8548,238
"253","Berks County and SLF Perimeter","$6 million","70",2020,8493,235
"255","Berks County and SLF Perimeter","$6 million","80",2020,8388,223
"257","Berks County and SLF Perimeter","$6 million","90",2020,8288,227
"259","Berks County","$12 million","100",2020,7540,248
"261","Berks County","$12 million","50",2020,8696,277
"263","Berks County","$12 million","60",2020,8455,227
"265","Berks County","$12 million","70",2020,8327,204
"267","Berks County","$12 million","80",2020,8052,223
"269","Berks County","$12 million","90",2020,7826,255
"271","Berks County","$18 million","100",2020,7135,241
"273","Berks County","$18 million","50",2020,8187,233
"275","Berks County","$18 million","60",2020,7900,241
"277","Berks County","$18 million","70",2020,7634,232
"279","Berks County","$18 million","80",2020,7437,225
"281","Berks County","$18 million","90",2020,7260,196
"283","Berks County","$6 million","100",2020,8351,233
"285","Berks County","$6 million","50",2020,9172,268
"287","Berks County","$6 million","60",2020,9048,260
"289","Berks County","$6 million","70",2020,8962,259
"291","Berks County","$6 million","80",2020,8899,274
"293","Berks County","$6 million","90",2020,8704,221
"295","SLF Perimeter","$12 million","100",2020,8342,254
"297","SLF Perimeter","$12 million","50",2020,8819,283
"299","SLF Perimeter","$12 million","60",2020,8697,264
"301","SLF Perimeter","$12 million","70",2020,8646,236
"303","SLF Perimeter","$12 million","80",2020,8527,248
"305","SLF Perimeter","$12 million","90",2020,8433,246
"307","SLF Perimeter","$18 million","100",2020,7904,240
"309","SLF Perimeter","$18 million","50",2020,8463,226
"311","SLF Perimeter","$18 million","60",2020,8404,246
"313","SLF Perimeter","$18 million","70",2020,8249,228
"315","SLF Perimeter","$18 million","80",2020,8127,204
"317","SLF Perimeter","$18 million","90",2020,8075,235
"319","SLF Perimeter","$6 million","100",2020,8823,252
"321","SLF Perimeter","$6 million","50",2020,9129,284
"323","SLF Perimeter","$6 million","60",2020,9050,235
"325","SLF Perimeter","$6 million","70",2020,9013,250
"327","SLF Perimeter","$6 million","80",2020,8949,253
"329","SLF Perimeter","$6 million","90",2020,8906,235
